2021-07-12 15:31:31.304 monitoring_router:608 [INFO]  Initialized the UDP socket on 0.0.0.0:55055
2021-07-12 15:31:31.307 monitoring_router:732 [INFO]  Starting MonitoringRouter in router_starter
2021-07-12 15:31:32.430 monitoring_router:659 [INFO]  Putting message to block_msgs: ((<MessageType.BLOCK_INFO: 4>, []), 0)
2021-07-12 15:31:32.463 monitoring_router:659 [INFO]  Putting message to block_msgs: ((<MessageType.BLOCK_INFO: 4>, [{'run_id': '2c8221de-4cfe-44b4-939c-1f3cd2c25120', 'status': 'PENDING', 'timestamp': datetime.datetime(2021, 7, 12, 15, 31, 32, 462933), 'executor_label': 'htex_Local', 'job_id': '52599', 'block_id': '0'}, {'run_id': '2c8221de-4cfe-44b4-939c-1f3cd2c25120', 'status': 'PENDING', 'timestamp': datetime.datetime(2021, 7, 12, 15, 31, 32, 462941), 'executor_label': 'htex_Local', 'job_id': '52606', 'block_id': '1'}]), 0)
2021-07-12 15:31:33.336 monitoring_router:644 [INFO]  message is NODE_INFO
2021-07-12 15:31:33.357 monitoring_router:644 [INFO]  message is NODE_INFO
2021-07-12 15:31:33.380 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.382 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.383 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.479 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.594 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.595 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.796 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.797 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.797 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:33.798 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.108 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.109 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.205 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.205 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.206 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.206 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.511 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.512 monitoring_router:656 [INFO]  Handling as RESOURCE_INFO
2021-07-12 15:31:34.521 monitoring_router:644 [INFO]  message is NODE_INFO
2021-07-12 15:31:34.524 monitoring_router:644 [INFO]  message is NODE_INFO
2021-07-12 15:31:34.558 monitoring_router:659 [INFO]  Putting message to block_msgs: ((<MessageType.BLOCK_INFO: 4>, [{'run_id': '2c8221de-4cfe-44b4-939c-1f3cd2c25120', 'status': 'CANCELLED', 'timestamp': datetime.datetime(2021, 7, 12, 15, 31, 34, 554078), 'executor_label': 'htex_Local', 'job_id': '52606', 'block_id': '1'}, {'run_id': '2c8221de-4cfe-44b4-939c-1f3cd2c25120', 'status': 'CANCELLED', 'timestamp': datetime.datetime(2021, 7, 12, 15, 31, 34, 554120), 'executor_label': 'htex_Local', 'job_id': '52599', 'block_id': '0'}]), 0)
2021-07-12 15:31:34.571 monitoring_router:683 [INFO]  Monitoring router draining
2021-07-12 15:31:37.577 monitoring_router:698 [INFO]  Monitoring router finishing normally
2021-07-12 15:31:37.578 monitoring_router:700 [INFO]  Monitoring router finished
2021-07-12 15:31:37.578 monitoring_router:739 [INFO]  End of router_starter
